상품명,상품설명,가격,할인정보,판매단위,중량/용량,배송구분,포장타입
[쉐푸드] 김치 제육 덮밥 2종,푸짐하게 담아낸 간편함을 담은 매콤달콤 덮밥!,"3,980원",X,제품별상이(하단참조),제품별상이(하단참조),샛별배송/택배배송,냉동/종이포장
[심플로트] 미국 코팅 감자튀김 2종,미국식 프렌치프라이의 정석을 보여주는,"4,200원",X,1봉,400g,샛별배송/택배배송,냉동/종이포장
[체리부로] 골든치킨 봉,촉촉한 속살을 지닌 후라이드 닭봉,"7,900원",X,1팩,460g,샛별배송/택배배송,냉동/종이포장
[안원당] 소고기 쟁반수육,집에서 간편하게 즐기는 어복쟁반,"13,900원",X,1봉,950g,샛별배송/택배배송,냉동/종이포장
[8도포차] 매운 닭오돌살 직화구이,매콤하게 즐기는 이색 야식,"5,300원",X,1팩,160g,샛별배송/택배배송,냉동/종이포장
[인테이크] 이노센트 베지볼,병아리콩으로 만든 부드러운 대체육,"2,900원",X,1팩,100g,샛별배송/택배배송,냉동/종이포장
[미자언니네] 팥죽 (냉동),부드럽고 고소한 홈메이드 죽,"7,656원",13%,1팩,500g,샛별배송/택배배송,냉동/종이포장
[원딤섬] 새우 완탕 튀김,집에서 맛보는 일품요리,"6,000원",X,1팩,180g,샛별배송/택배배송,냉동/종이포장
[클레버토끼] 닭가슴살&이탈리안 Family Bowl  (이탈리안소스 포함),(푸짐한 패밀리 샐러드) 담백함이 매력적인 샐러드(1팩/300g),"6,500원",X,1팩,300g,샛별배송/택배배송,냉장/종이포장
[존쿡델리미트] 떡갈비 2종,쫄깃한 갈비살에 입힌 직화의 풍미,"2,350원",X,1개,100g,샛별배송/택배배송,냉장/종이포장
[프레시메이드] 한우 곰탕,뽀얀 국물에 담긴 진한 맛!,"2,900원",X,1팩,500g,샛별배송/택배배송,냉동/종이포장
[쌀집아줌마] 쪄서볶은 약콩가루,간편하게 섭취하는 풍부한 영양,"6,300원",X,1봉,150g,샛별배송/택배배송,상온/종이포장
[아임닭] 닭가슴살 큐브 8종,퍽퍽함이 적은 조각 닭가슴살,"1,950원",X,1팩,100g,샛별배송/택배배송,냉동/종이포장
[서울마님죽] 참치죽,참치가 고소한 풍미가 가득,"2,700원",X,1팩,300g,샛별배송/택배배송,냉장/종이포장
[신의주 찹쌀순대] 시래기 야채고기 순대,고소한 맛과 풍성한 식감,"7,500원",X,1묶음,250g,샛별배송/택배배송,냉동/종이포장
[Kurly's] 물만두,국내산 재료로 가득 채운 깨끗함,"7,900원",X,1팩,800g,샛별배송/택배배송,냉동/종이포장
[쉐푸드] 모짜렐라 치즈스틱 500g,남녀노소 좋아하는 고소한 간식,"8,490원",X,1팩,500g,샛별배송/택배배송,냉동/종이포장
[굽네] 닭가슴살 비엔나 마늘,한 입에 즐기는 닭가슴살 소시지,"2,000원",X,1팩,100g,샛별배송/택배배송,냉동/종이포장
[그릭슈바인] 감자 핫도그,감자와 핫도그의 고소한 만남,"8,400원",X,1봉,100gx4개입,샛별배송/택배배송,냉동/종이포장
[남향푸드또띠아] 통밀 브리또 3종,고소한 통밀을 더한 간편 브리또,"2,900원",X,1개,125g,샛별배송/택배배송,냉동/종이포장
[비비드키친] 소불고기,호주산 소고기로 만든 달콤 반찬,"13,900원",X,1팩,500g,샛별배송/택배배송,냉동/종이포장
[맛있닭] 다이어트 도시락 3종,체중조절을 위한 맛있는 선택,"4,800원",X,1팩,210g,샛별배송/택배배송,냉동/종이포장
[다노] 곤약비빔면,소스까지 합쳐도 130kcal!,"3,400원",X,1컵,221g,샛별배송/택배배송,상온/종이포장
[농심] 안성탕면 5입,구수한 국물 맛이 일품,"2,960원",9%,1팩,625g(125g,샛별배송/택배배송,상온/종이포장
[정미경키친] 10가지 그릴드 채소&요거트소스,오븐에 구워 풍미가 뛰어난,"7,347원",7%,1팩,230g,샛별배송/택배배송,냉장/종이포장
[올반] 마늘듬뿍 숙성 양념 소갈비살 180gx2팩,특제 소스에 재워 감칠맛 가득한 ,"15,900원",X,1묶음,180g,샛별배송/택배배송,냉동/종이포장
[쉐프스토리] 분모자 로제 떡볶이 (밀키트),손쉽게 조리하는 로제 떡볶이,"5,440원",20%,1팩,560g,샛별배송/택배배송,냉동/종이포장
[경복궁 BLACK] 한우 사골 곰탕,뽀얀 국물에 담긴 깊은 풍미,"6,900원",X,1봉,700g,샛별배송/택배배송,냉동/종이포장
[아침엔본죽] 호박죽,샛노란 빛깔 속 달짝지근함,"3,800원",X,1팩,270g,샛별배송/택배배송,냉장/종이포장
[샐러딩] 콥 샐러드 168g,다채로운 토핑으로 즐기는 콥 샐러드(168g/1팩),"6,200원",X,1팩,168g,샛별배송/택배배송,냉장/종이포장
오븐에 구운 촉촉 통감자,휴게소에서 즐기던 통감자를 집에서 간편하게,"2,500원",X,1봉,150g,샛별배송/택배배송,냉동/종이포장
[홍루이젠] 에그마요 샌드위치 2종,부드러운 샐러드가 듬뿍,"2,800원",X,1개,130g,샛별배송/택배배송,냉장/종이포장
[보승] 순살 족발,남길 염려 없이 알뜰한 별미,"6,500원",X,1개,285g,샛별배송/택배배송,냉장/종이포장
[콜린스 다이닝] 버섯 크림 함박스테이크,집에서 맛보는 정통 함박스테이크,"10,670원",3%,1팩,320g,샛별배송/택배배송,냉장/종이포장
[KART] 통안심살이 통통 치킨텐더,"바삭 촉촉, 케이준 양념 통안심","5,900원",X,1팩,400g,샛별배송/택배배송,냉동/종이포장
[LOTS OF LOVE] 한끼든든 친절한 미역국밥,물만 넣고 끓여 주면 완성되는,"5,800원",X,1봉,420g(210gx2개),샛별배송/택배배송,냉동/종이포장
[다노] 쑥선식,고소한 간편 단백질 선식,"2,500원",X,1팩,25g,샛별배송/택배배송,상온/종이포장
[글래드 셰프's 에디션] 베트남 하노이식 닭다리살 구이,집에서 즐기는 이국의 향,"11,000원",X,1팩,450g,샛별배송/택배배송,냉동/종이포장
[크놀라] 그래놀라 5종,정성으로 빚은 수제 그래놀라 (new! 옵션 추가),"10,000원",X,1팩,200g,샛별배송/택배배송,냉장/종이포장
[무빙마운틴] 식물성 소시지 217g,식물성 재료로 만든 소시지,"10,980원",X,1팩,217g,샛별배송/택배배송,냉동/종이포장
[풀무원] 노엣지 페퍼로니 콤비네이션피자,다채로운 토핑이 가득다채로운 토핑이 가득,"6,980원",X,1개,388g,샛별배송/택배배송,냉동/종이포장
[제로미트] 베지 함박 오리지널,탱글탱글한 식감의 비건식사,"6,980원",X,1팩,375g,샛별배송/택배배송,냉동/종이포장
[마포식품] 만두피 3종,3가지 크기의 냉장 만두피,"3,500원",X,1봉,옵션별,샛별배송/택배배송,냉장/종이포장
[서울마님죽] 삼선짬뽕죽,칼칼한 짬뽕의 푸근한 변신,"3,000원",X,1팩,300g,샛별배송/택배배송,냉장/종이포장
[올쿡] 능이 삼계탕,깊고 진하게 우러 나오는 영양,"14,000원",X,1팩,1.4kg,샛별배송/택배배송,냉동/종이포장
[외할머니댁] 감자탕,뜨끈한 속풀이 해장국,"9,000원",X,1팩,1.2kg,샛별배송/택배배송,냉동/종이포장
[광화문 미진] 비빔메밀 (2인분),메밀 맛집의 스테디셀러 메뉴,"8,900원",X,1팩,462g,샛별배송/택배배송,냉동/종이포장
[푸드렐라] 빠삭 통새우,껍질 채로 튀겨 통째로 먹는,"9,900원",X,1봉,300g,샛별배송/택배배송,냉동/종이포장
[튀김공방] 김말이 튀김,집에서도 바삭하고 촉촉하게,"3,300원",X,1봉,300g,샛별배송/택배배송,냉동/종이포장
[하루한킷] 소고기 칼국수 전골,푸짐하게 즐기는 담백한 전골,"12,900원",X,1팩,"1,010g",샛별배송/택배배송,냉장/종이포장
[오뚜기] 진라면 매운맛 컵 65g*6입,매콤하고 진한 맛이 일품,"4,500원",X,1박스,390g(65g,샛별배송/택배배송,상온/종이포장
[콜린스 다이닝] 문어 보리 샐러드,든든하게 즐기는 이색 샐러드,"8,245원",3%,1통,240g,샛별배송/택배배송,냉장/종이포장
[프로방스] 허브치킨 플레로티,집에서 즐기는 프랑스 가정식,"4,900원",X,1팩,245g,샛별배송/택배배송,냉동/종이포장
[홍반장] 얼큰이 순대국,얼큰하게 속을 풀어주는 국물,"5,500원",X,1봉,600g,샛별배송/택배배송,냉동/종이포장
[멕케인] 에어프라이어 감자크로켓,폭신한 식감의 회오리 감자튀김,"4,000원",X,1팩,500g,샛별배송/택배배송,냉동/종이포장
[누리웰] 비빔 반숙 계란장,간편하게 즐기는 짜지않고 고소한 계란장,"3,900원",X,1팩,400g(4알),샛별배송/택배배송,냉장/종이포장
[모노키친] 바삭하게 튀겨진 새우후라이,노릇한 색깔과 바삭한 식감이 일품,"5,865원",15%,1팩,230g,샛별배송/택배배송,냉동/종이포장
[라이스웰] 황동판에 구운 백미 누룽지,자꾸만 손이 가는 누룽지 간식,"12,000원",X,1통,800g,샛별배송/택배배송,상온/종이포장
[토리식품] 죽 2종,"간편하게 뚝딱, 옹골찬 사랑의 맛 ","2,500원",X,1팩,235g,샛별배송/택배배송,냉장/종이포장
[쉐프스토리] 로제 떡볶이 (트레이타입),새롭게 떠오르는 떡볶이 강자,"3,600원",20%,1개,310g,샛별배송/택배배송,냉동/종이포장
[상하키친] 크림스프 3종,간편하게 맛보는 부드럽고 진한 스프,"2,300원",X,1팩,150g,샛별배송/택배배송,상온/종이포장
[루앙] 대만 샌드위치 3종,크리미한 소스가 매력적인 간식,"2,100원",X,1개,옵션별,샛별배송/택배배송,냉장/종이포장
[청오] 국산 유기농 볶음 콩가루,자연에서 찾은 건강한 고소함,"6,900원",X,1개,200g,샛별배송/택배배송,상온/종이포장
[정미경키친] 감자샐러드,밑반찬이자 일품 요리로 손색 없는,"5,200원",X,1팩,200g,샛별배송/택배배송,냉장/종이포장
[정미경키친] 10가지 채소가 들어간 커리,향긋하게 즐기는 풍성한 한 끼,"8,277원",7%,1팩,360g,샛별배송/택배배송,냉장/종이포장
[탄단지] 통 닭가슴살 4종,간편하게 섭취하는 통 닭가슴살!,"1,700원",X,1팩,100g,샛별배송/택배배송,냉동/종이포장
[정미경키친] 포두부 야채말이,겨자로 포인트를 더한 가벼운 한 끼,"7,500원",X,1팩,250g,샛별배송/택배배송,냉장/종이포장
[씨튼베이커리] 유기농 시리얼 3종,유기농 곡물이 담긴 건강 시리얼,"6,800원",X,1팩,옵션별,샛별배송/택배배송,상온/종이포장
[아임닭] 한입가득 스팀 닭가슴살 4종,스팀 조리로 부드러워진,"6,400원",X,1팩,100g,샛별배송/택배배송,냉동/종이포장
[쉐푸드] 모닝 미니버거 불고기,[컬리 Only] 간편하게 즐기는 불고기 버거,"4,800원",X,1팩,259g,샛별배송/택배배송,냉장/종이포장
[온더고] 매콤불닭&치즈,불닭소스가 어우러진 닭고기 도시락,"4,500원",X,1팩,320g,샛별배송/택배배송,냉동/종이포장
[올리] 100% 메밀면,오직 메밀만으로 완성한,"2,000원",X,1봉,150g,샛별배송/택배배송,냉동/종이포장
[해화당] 매콤갈비만두,손이 가는 매콤한 감칠맛,"5,900원",X,1봉,360g,샛별배송/택배배송,냉동/종이포장
[올리] 수제 그래놀라 3종,(신규상품 추가) 유기농 귀리로 만든 수제 그래놀라,"7,633원",15%,1개,200g,샛별배송/택배배송,상온/종이포장
[미자언니네] 차돌 강된장,맛깔나게 끓인 밥도둑,"5,655원",13%,1개,300g,샛별배송/택배배송,냉동/종이포장
[비비고] 김치 왕교자 대용량 1.05kg,넉넉하게 즐기는 매콤한 왕교자,"9,900원",X,1봉,1050g,샛별배송/택배배송,냉동/종이포장
[프렙] 베이컨 할라피뇨 파스타,매콤하고 깔끔한 맛의 파스타 밀키트,"7,650원",25%,1팩,325g,샛별배송/택배배송,냉동/종이포장
[레디잇] 트러플 크림 파스타,부드러운 크림에 녹아든 트러플향,"9,900원",X,1팩,570g,샛별배송/택배배송,냉장/종이포장
[창화루] 마라 감바스,알싸한 마라향이 감도는 새우 요리,"13,900원",X,1봉,380g,샛별배송/택배배송,냉동/종이포장
[킨더가든] 우리아이 채소 품은 대구살전,생선과 채소의 영양을 한 번에,"5,900원",X,1팩,110g,샛별배송/택배배송,냉장/종이포장
[오모가리] 수제 김치찌개 2종,맛있는 김치찌개를 위한 베이스,"5,200원",X,1봉,500g,샛별배송/택배배송,냉동/종이포장
[켈로그] 건강한 곡물 그래놀라 2종,고소하고 든든한 곡물 그래놀라,"5,030원",36%,1박스,옵션별,샛별배송/택배배송,상온/종이포장
[김구원선생] 국산 두부로 만든 김치 납작 군 만두 490g,김치와 두부가 만드는 하모니,"5,950원",X,1팩,490g,샛별배송/택배배송,냉동/종이포장
[프앙세 게스트로미에] 파슬리 홍합요리,특별한 날에 어울리는 홍합 요리,"8,900원",X,1팩,125g,샛별배송/택배배송,냉동/종이포장
[마이셰프] 포크안심 찜 샐러드,따뜻해서 더 든든한 한끼 샐러드,"8,900원",X,1팩,270g,샛별배송/택배배송,냉장/종이포장
[올반] 명란 군만두 (315g X 2봉),바삭하게 퍼지는 명란의 감칠맛,"8,380원",X,1팩,315g,샛별배송/택배배송,냉동/종이포장
[농심] 신라면컵 6입,작은 컵에 쏙 담은 매콤함,"4,740원",X,1박스,390g(65gX6입),샛별배송/택배배송,상온/종이포장
[게방찬] 오징어 볶음 250g(냉동),맵지만 자꾸 끌리는,"7,800원",X,1팩,250g,샛별배송/택배배송,냉동/종이포장
[존쿡 델리미트] 세인트루이스 립 드라이럽 스타일 500g (냉동),"진짜 바베큐의 맛, 두툼한 살과 함께 올라가는 행복감(1상자/500g)","16,870원",13%,1박스,500g,샛별배송/택배배송,냉동/종이포장
[Kurly's] 우리밀 담백하게 고기 교자,국내산 재료로 가득 채운 교자 ,"4,900원",X,1팩,1팩,샛별배송/택배배송,냉동/종이포장
[삼양] 맛있는라면 비건 4입,건강하게 즐기는 비건 라면,"4,100원",X,1팩,100g,샛별배송/택배배송,상온/종이포장
[칼만스] 프로틴 바 5종,식물성 단백질을 더한,"9,900원",X,1상자,40g,샛별배송/택배배송,냉장/종이포장
[더맛있는] 소시지 볶음밥,입 안에서 톡톡 터지는 매력,"4,400원",X,1봉,230g,샛별배송/택배배송,냉동/종이포장
[해화당] 야채김치왕교자,입 안 가득 넘치는 개운한 김치왕교자,"4,200원",X,1봉,280g,샛별배송/택배배송,냉동/종이포장
[파머스핫도그] 고구마 치즈 만난 감자 핫도그,두툼한 소시지와 달콤한 고구마 치즈,"9,900원",X,1봉,150g,샛별배송/택배배송,냉동/종이포장
미고랭 스파이시 라면 400g (80g x 5입),매콤한 감칠맛의 이국적인 볶음면,"2,540원",X,1팩,80g,샛별배송/택배배송,상온/종이포장
[양평서울해장국] 장터국밥,,"3,700원",X,1팩,400g,샛별배송/택배배송,상온/종이포장
[미자언니네] 담백한 곤드레 만두,향긋함과 구수함이 함께 담긴 만두,"4,557원",7%,1팩,300g,샛별배송/택배배송,냉동/종이포장
[Kurly's] 우리밀 순수하게 비건 교자,채소만으로도 부족함 없이 즐기는 맛,"4,900원",X,1팩,1팩,샛별배송/택배배송,냉동/종이포장
[테이스티도쿄] 소고기 카레,우유와 향신료가 자아내는 풍미,"6,500원",X,1개,400g,샛별배송/택배배송,냉장/종이포장
[고메] 나폴리 마르게리타 피자,토마토와 모짜렐라의 깔끔한 조화,"6,500원",X,1박스,300g,샛별배송/택배배송,냉동/종이포장
[갤러리아 고메이494] 도원 중화 짜장,[더플라자 호텔] 수석 셰프의 레시피,"5,200원",X,1팩,200g,샛별배송/택배배송,상온/종이포장
[탄단지] 스팀오븐 닭가슴살 3종,스팀으로 쪄 더 부드러운!,"1,650원",X,1봉,100g,샛별배송/택배배송,냉동/종이포장
[마켓컬리 X 누리웰] 계란 김밥 키트,집에서 즐기는 계란 김밥,"10,800원",10%,1봉,총,샛별배송/택배배송,냉장/종이포장
[쉐푸드] 갈릭베이컨마요 김밥,알차게 담긴 고소한 감칠맛,"3,000원",X,1팩,298g,샛별배송/택배배송,냉장/종이포장
[베지가든 : 맛있는 채식 일상] 한입 완자,두부와 식물성 대체육으로 만든 한입 쏙 완자,"12,800원",X,1팩,400g,샛별배송/택배배송,냉동/종이포장
[창화당] 탱글탱글 수제 새우낙지굴림만두,"새우와 낙지가 풍성하게 들어간, 프리미엄 굴림만두","11,900원",X,1봉,500g,샛별배송/택배배송,냉동/종이포장
[체어맨스리저브] 양념소불고기 500g(냉장),은은한 단맛이 매력적인 불고기,"12,093원",13%,1팩,500g,샛별배송/택배배송,냉장/종이포장
[스마트푸드] 고바 누룽지,활용이 간편한 얇은 누룽지,"7,500원",X,1봉,300g,샛별배송/택배배송,상온/종이포장
[낭만어시장] 순살 곱도리탕,물만 더해 완성하는 얼큰한 메인 요리,"19,600원",X,1팩,750g,샛별배송/택배배송,냉동/종이포장
[이번엔 프레시닭] 수비드 닭가슴살 슬라이스 (100g x 8개입),넉넉히 즐기는 촉촉 담백한 매력,"9,800원",X,1팩,800g(100g,샛별배송/택배배송,냉동/종이포장
[제이키친] 칼볶이,호로록 즐기는 누들 떡볶이 매운맛,"6,500원",X,1봉,518g,샛별배송/택배배송,냉장/종이포장
[해화당] 얇은피 고기왕교자,얇은 피로 더욱 쫄깃해진,"4,900원",X,1봉,350g,샛별배송/택배배송,냉동/종이포장
[사조대림] 더바삭한 치킨&양념감자,함께 즐기는 순살치킨과 웨지감자,"6,980원",X,1봉,400g,샛별배송/택배배송,냉동/종이포장
[몰리노 프로젝트] 과카몰리 3종,과카몰리의 다채로운 변주,"9,900원",X,1팩,200g,샛별배송/택배배송,냉장/종이포장
[오뚜기] 카레 100g 3종(분말),간편하게 사용하는 카레 가루 3종(100g/봉),"1,850원",X,봉,100g,샛별배송/택배배송,상온/종이포장
[혼술짠] 한방 족발& 돼지 수육 반반 SET,진한 맛의 1인용 족발+수육,"7,900원",X,1팩,200g,샛별배송/택배배송,냉장/종이포장
[밥리] 밥버거 8종,간편하게 즐기는 든든한 한끼 식사,"3,200원",X,1개,250g,샛별배송/택배배송,냉동/종이포장
[풀무원] 노엣지 직화 불고기피자,든든한 불고기피자,"6,980원",X,1개,387g,샛별배송/택배배송,냉동/종이포장
[튀김공방] 크림새우,쫄깃한 튀김과 새콤달콤 소스,"8,860원",X,1봉,400g,샛별배송/택배배송,냉동/종이포장
[피자나폴리] 수제 화덕 피자 3종,화덕에 구워 진한 풍미,"8,500원",X,1개,옵션별,샛별배송/택배배송,냉동/종이포장
[감동만두] 마늘새우군만두,색다른 재료의 완벽한 조합,"5,500원",X,1팩,350g,샛별배송/택배배송,냉동/종이포장
[고온어다이어트] 떡갈비 & 현미영양밥,맛과 영양을 모두 잡은,"3,700원",X,1팩,190g,샛별배송/택배배송,냉동/종이포장
[창화당] 납작 숯불 왕군만두,숯불에 구워낸 돼지갈비를 넣어 만든 창화당 시그니처 만두,"9,900원",X,1봉,500g,샛별배송/택배배송,냉동/종이포장
[라이스웰] 황동판에 구운 찹쌀누룽지,"바삭, 쫀득, 구수한 삼 박자","15,000원",X,1통,800g,샛별배송/택배배송,상온/종이포장
[SEMIWON] 대만식 우육탕면 (리뉴얼),소고기 고명을 얹은 매콤한 탕면,"6,900원",X,1개,520g(육수350g+면170g),샛별배송/택배배송,냉동/종이포장
[올반] 옛날 통닭 2마리,"겉은 바삭, 속은 촉촉한 추억 속 그 맛! ","15,800원",X,1팩,720g,샛별배송/택배배송,냉동/종이포장
[삼양] 나가사끼짬뽕 5입,돈사골 육수의 깊은 풍미,"4,480원",X,1팩,115g,샛별배송/택배배송,상온/종이포장
[느린마을] 소고기 육전,달걀물 입은 부드러운 홍두깨살,"7,500원",X,1개,해당사항없음,샛별배송/택배배송,냉동/종이포장
[H’EATING] 제주 흑돈 크리스피 모짜렐라 핫도그,흑돼지 육즙과 모짜렐라 치즈의 고소함,"5,560원",20%,1봉,90g,샛별배송/택배배송,냉동/종이포장
[비첸향] 미니 이지 치즈,육포와 치즈의 찰떡 궁합,"21,680원",21%,1BOX,200g,샛별배송/택배배송,상온/종이포장
[부침명장] 고기완자,도톰하게 빚어 더 풍부한 맛,"6,860원",X,1봉,480g(약,샛별배송/택배배송,냉동/종이포장
[비비드키친] 주꾸미 볶음밥,매콤한 감칠맛이 배어든,"6,500원",X,1팩,230g,샛별배송/택배배송,냉동/종이포장
[CJ프레시웨이]  훈제오리,간편하게 데워 먹는 오리고기 (1팩 200g) ,"4,655원",5%,1팩,200g,샛별배송/택배배송,냉장/종이포장
[고기대신] 비건 한입 까스,탄력있는 식감으로 즐기는 식물성 고기!,"7,980원",X,1봉,280g,샛별배송/택배배송,냉동/종이포장
[우정양곱창] 곱창전골 떡볶이,컬리에서 즐기는 이색 떡볶이,"18,000원",X,1팩,1590g,샛별배송/택배배송,냉동/종이포장
[해화당]한입 쏙 굴림만두,만두소의 매력이 돋보이는,"5,200원",X,1봉,260g,샛별배송/택배배송,냉동/종이포장
[더오담] 양념 불고기 2종, 합리적인 가격대의 무항생제 오리로 만든 쫄깃 불고기,"3,808원",15%,1개,200g,샛별배송/택배배송,냉동/종이포장
[쉐프엠] 크랜베리단호박샐러드,간편하게 즐기는 컵샐러드,"2,000원",X,1개,100g,샛별배송/택배배송,냉장/종이포장
[위드진해] 한우 곱창 구이,손쉽게 완성하는 고소한 한우 곱창,"28,310원",5%,1팩,240g,샛별배송/택배배송,냉동/종이포장
[삼양] 컵 나가사끼짬뽕 6입,작은 컵으로 즐기는 칼칼한 백짬뽕,"5,520원",X,1박스,65gX6개입,샛별배송/택배배송,상온/종이포장
[크라제] 바베큐 폭립,크라제의 노하우를 담은 ,"12,665원",15%,1팩,450g,샛별배송/택배배송,냉동/종이포장
[샐러드판다] 판다의 부라타치즈 샐러드,부라타 치즈를 곁들인 샐러드!,"6,696원",7%,1팩,190g,샛별배송/택배배송,냉장/종이포장
[라비퀸] 매콤 까르보나라 떡볶이,누들 떡볶이의 독특한 매력,"5,900원",X,1팩,500g,샛별배송/택배배송,냉동/종이포장
[네떼] 1900 하루샐러드 비트&당근 105g,비트와 당근이 만나 맛과 멋을 더한 하루샐러드(1팩/105g),"1,900원",X,1팩,105g,샛별배송/택배배송,냉장/종이포장
[누리웰] 에그 스프레드,에그 샐러드가 생각날 때,"2,800원",X,1팩,200g,샛별배송/택배배송,냉장/종이포장
[한끼묵자] 상큼 고소한 흑임자 묵 샐러드키트,가볍게 즐기는 묵 샐러드 한 그릇,"9,500원",X,1팩,470g,샛별배송/택배배송,냉장/종이포장
[저스트그린] 그린샐러드 비트&당근 2종,비트와 당근으로 더한 아삭함,"1,800원",X,1팩,옵션별,샛별배송/택배배송,냉장/종이포장
[네떼] 스윗 고구마 샐러드 155g,샐러드의 정석 고구마 샐러드(1팩/155g),"3,600원",X,1팩,155g,샛별배송/택배배송,냉장/종이포장
[자문밖] 무청시래기버섯솥밥 & 한입떡갈비,고소하고 든든하게 즐기는 식사,"3,900원",X,1팩,230g,샛별배송/택배배송,냉동/종이포장
[메이티엔] 대만 샌드위치 땅콩버터,부드러움에 고소함을 더한,"1,900원",X,1개,70g,샛별배송/택배배송,상온/종이포장
[KART] 멘치카레,전문점에서 맛보던 기본카레,"3,900원",X,1팩,180g,샛별배송/택배배송,상온/종이포장
[고독한야식가] 슬라이스 족발,간편하게 즐기는 쫄깃 족발,"8,900원",X,PK,365g,샛별배송/택배배송,냉동/종이포장
[요미요미] 튼튼 시리얼 2종,영양을 고려한 우리 아이 간식,"5,900원",X,1팩,100g,샛별배송/택배배송,상온/종이포장
[하림이닭] 냉동 닭가슴살 2종,가볍게 즐기는 하림 닭가슴살!,"1,700원",X,1팩,옵션별,샛별배송/택배배송,냉동/종이포장
[오뚜기] 오뚜기밥 잡곡 3종,국산 잡곡으로 지은 즉석밥,"3,980원",X,1팩,210g,샛별배송/택배배송,상온/종이포장
[쉐푸드] 직화 동그랑땡 425g + 425g,돼지고기와 6가지 채소의 조화,"8,490원",X,1팩,425g,샛별배송/택배배송,냉동/종이포장
[농심] 튀김우동컵 6입,순하게 즐기는 한 컵 별미,"4,740원",X,1박스,372g(62g,샛별배송/택배배송,상온/종이포장
[마이셰프] 모둠닭쌈 찜 샐러드,촉촉해서 계속 당기는 닭가슴살,"9,900원",X,1팩,331g,샛별배송/택배배송,냉장/종이포장
[명인등심] 차돌된장밥 (270g*2입),고소하고 부드러운 된장죽,"9,700원",X,1봉/2입,270g*2,샛별배송/택배배송,냉동/종이포장
[모노키친] 오사카풍 모둠 쿠시카츠,다채롭게 즐기는 7종의 꼬치 튀김,"9,800원",X,1팩,370g,샛별배송/택배배송,냉동/종이포장
[고온어다이어트] 닭가슴살 & 두부스테이크,풍부한 단백질과 깊은 포만감,"3,900원",X,1,215g,샛별배송/택배배송,냉동/종이포장
[소중한식사] 더덕무침,알싸함으로 입맛 살려주는,"5,762원",14%,1팩,120g,샛별배송/택배배송,냉장/종이포장
[한만두] 촉촉한 물만두,풍성한 육즙을 담아낸 촉촉한 물만두,"3,900원",X,PK,315g,샛별배송/택배배송,냉동/종이포장
"[Kurly's] 간편하게 바삭, 통가슴살 치킨 커틀렛 200g","담백함은 그대로, 고소함은 가득","2,500원",X,1봉,200g,샛별배송/택배배송,냉동/종이포장
[애슐리] 시카고 딥디쉬 피자,치즈 듬뿍 두툼하게 즐기는 피자,"6,900원",X,1봉,411g,샛별배송/택배배송,냉동/종이포장
[간편 샐러드] 손질 로메인 40g,부드럽고 산뜻한 매력(40g/1팩),"1,800원",X,1팩,40g,샛별배송/택배배송,냉장/종이포장
[베지가든 : 맛있는 채식 일상] 함박 스테이크 2종,고기 식감 그대로 비건 함박 스테이크,"11,800원",X,1개,제품별상이(하단참조),샛별배송/택배배송,냉동/종이포장
[호라푸드] 시나몬 츄러스,집에서 만나는 달큰한 츄러스,"3,980원",X,1봉,220g,샛별배송/택배배송,냉동/종이포장
[뉴델리 :진한 인도 커리의 맛] 양고기 토마토  커리,손쉽게 경험하는 인도 정통 커리,"9,000원",X,1팩,180g,샛별배송/택배배송,냉동/종이포장
문어 닮은 소떡 500g,귀여운 문어 모양 소시지 떡,"6,900원",X,1팩,500g,샛별배송/택배배송,냉동/종이포장
[레디잇] 토마토 치킨커리,달큰해서 아이들 식사로도 제격,"4,900원",X,1팩,320g,샛별배송/택배배송,냉장/종이포장
[피코크] 차돌박이 된장찌개,차돌박이로 더 진득하고 더 깊게 즐겨보는 든든한 된장찌개 한 그릇!,"5,480원",X,1개,500g,샛별배송/택배배송,냉장/종이포장
[비비고] 시원 바지락 칼국수,바지락 순살이 들어가 개운한 맛,"7,480원",X,1팩,642g/321gx2개입,샛별배송/택배배송,냉동/종이포장
[엄마밥상] 사골 황태미역국,속을 따뜻하게 데워줄 한 그릇,"7,300원",X,1팩,600g,샛별배송/택배배송,냉동/종이포장
한끼 십리향,구수한 향이 가득한 밥 한 끼(3개입),"4,500원",X,3개입,200g*3개입,샛별배송/택배배송,냉장/종이포장
[저스트그린] 불고기 포테이토 샐러드 238g,불고기와 감자로 완성된 감칠맛,"5,900원",X,1팩,238g,샛별배송/택배배송,냉장/종이포장
[라비퀸] 오리지널 떡볶이,누들 떡볶이의 독특한 매력,"4,720원",20%,1팩,500g,샛별배송/택배배송,냉동/종이포장
[고메공방] 우리밀로 만든 흑미호떡,흑미찹쌀로 쫄깃함을 더한,"5,500원",X,1pack,500g(50gX10ea),샛별배송/택배배송,냉동/종이포장
[언리미트] 민스 (다짐육) 230g,요리를 즐겁게 만드는 대체육!,"6,090원",30%,1팩,230g,샛별배송/택배배송,냉동/종이포장
[에어프라이어] 바삭한 제주흑돼지 돈까스,고소한 흑돼지 돈까스를 간편하게,"6,900원",X,1봉,300g,샛별배송/택배배송,냉동/종이포장
